prod_inchi,prod_mults,reac_inchi,reac_mults
"InChI=1S/C4H6O.H2O/c1-3-4(2)5;/h3H,1H2,2H3;1H2",1_1,"InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3",1
"InChI=1S/C2H4O.C2H3/c1-2-3;1-2/h2H,1H3;1H,2H2",1_2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2",2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
"InChI=1S/C4H6O.H/c1-3-4(2)5;/h3H,1H2,2H3;",1_2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
InChI=1S/C2H3O.C2H4/c1-2-3;1-2/h1H3;1-2H2,2_1,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h3H,1-2H2;1H2",2_1,"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2",2
"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",2,"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2",2
"InChI=1S/C4H6O.H/c1-3-4(2)5;/h3H,1H2,2H3;",1_2,"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2",2
"InChI=1S/C3H6.CHO/c1-3-2;1-2/h3H,1H2,2H3;1H",1_2,"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2",2
"InChI=1S/C2H4O.C2H3/c1-2-3;1-2/h2H,1H3;1H,2H2",1_2,"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",2
"InChI=1S/C4H6O.H/c1-3-4(2)5;/h3H,1H2,2H3;",1_2,"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",2
InChI=1S/C2H3O.C2H4/c1-2-3;1-2/h1H3;1-2H2,2_1,"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3",2
InChI=1S/C2H3O.C2H4/c1-2-3;1-2/h1H3;1-2H2,2_1,"InChI=1S/C2H4O.C2H3/c1-2-3;1-2/h2H,1H3;1H,2H2",1_2
"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3",1,"InChI=1S/C4H7.HO2/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H",2_2
"InChI=1S/C4H7O.HO/c1-2-3-4-5;/h2-3H,4H2,1H3;1H",2_2,"InChI=1S/C4H7.HO2/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H",2_2
"InChI=1S/C4H6O.H2O/c1-2-3-4-5;/h2-4H,1H3;1H2",1_1,"InChI=1S/C4H7.HO2/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H",2_2
"InChI=1S/C4H7O.HO/c1-2-3-4-5;/h2-3H,4H2,1H3;1H",2_2,"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3",1
"InChI=1S/C4H6O.H2O/c1-2-3-4-5;/h2-4H,1H3;1H2",1_1,"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3",1
"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h1,3H,2H3;1H2",2_1,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3",2
"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3",2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3",2
"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3",2
"InChI=1S/C4H6O.H/c1-2-3-4-5;/h2-4H,1H3;",1_2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3",2
"InChI=1S/C3H6.CHO/c1-3-2;1-2/h3H,1H2,2H3;1H",1_2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3",2
"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h1,3H,2H3;1H2",2_1,"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3",2
"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",2,"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3",2
"InChI=1S/C4H6O.H/c1-2-3-4-5;/h2-4H,1H3;",1_2,"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3",2
"InChI=1S/C3H6.CHO/c1-3-2;1-2/h3H,1H2,2H3;1H",1_2,"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3",2
"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h1,3H,2H3;1H2",2_1,"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",2
"InChI=1S/C4H6O.H/c1-2-3-4-5;/h2-4H,1H3;",1_2,"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",2
"InChI=1S/C3H6.CHO/c1-3-2;1-2/h3H,1H2,2H3;1H",1_2,"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3",2
"InChI=1S/C3H6.CHO/c1-3-2;1-2/h3H,1H2,2H3;1H",1_2,"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h1,3H,2H3;1H2",2_1
"InChI=1S/C5H10O2/c1-4-5(2)7-6-3/h4-5H,1H2,2-3H3",1,"InChI=1S/C4H7.CH3O2/c1-3-4-2;1-3-2/h3-4H,1H2,2H3;1H3",2_2
"InChI=1S/C4H7O.CH3O/c1-3-4(2)5;1-2/h3-4H,1H2,2H3;1H3",2_2,"InChI=1S/C4H7.CH3O2/c1-3-4-2;1-3-2/h3-4H,1H2,2H3;1H3",2_2
"InChI=1S/C4H7O.CH3O/c1-3-4(2)5;1-2/h3-4H,1H2,2H3;1H3",2_2,"InChI=1S/C5H10O2/c1-4-5(2)7-6-3/h4-5H,1H2,2-3H3",1
"InChI=1S/C5H10O2/c1-3-4-5-7-6-2/h3-4H,5H2,1-2H3",1,"InChI=1S/C4H7.CH3O2/c1-3-4-2;1-3-2/h3-4H,1H2,2H3;1H3",2_2
"InChI=1S/C4H7O.CH3O/c1-2-3-4-5;1-2/h2-3H,4H2,1H3;1H3",2_2,"InChI=1S/C4H7.CH3O2/c1-3-4-2;1-3-2/h3-4H,1H2,2H3;1H3",2_2
"InChI=1S/C4H7O.CH3O/c1-2-3-4-5;1-2/h2-3H,4H2,1H3;1H3",2_2,"InChI=1S/C5H10O2/c1-3-4-5-7-6-2/h3-4H,5H2,1-2H3",1
"InChI=1S/C4H7O.C2H5O/c1-3-4(2)5;1-2-3/h3-4H,1H2,2H3;2H2,1H3",2_2,"InChI=1S/C4H7.C2H5O2/c1-3-4-2;1-2-4-3/h3-4H,1H2,2H3;2H2,1H3",2_2
"InChI=1S/C4H7O.C3H7O/c1-3-4(2)5;1-3(2)4/h3-4H,1H2,2H3;3H,1-2H3",2_2,"InChI=1S/C4H7.C3H7O2/c1-3-4-2;1-3(2)5-4/h3-4H,1H2,2H3;3H,1-2H3",2_2
"InChI=1S/C4H7O.C3H7O/c1-3-4(2)5;1-2-3-4/h3-4H,1H2,2H3;2-3H2,1H3",2_2,"InChI=1S/C4H7.C3H7O2/c1-3-4-2;1-2-3-5-4/h3-4H,1H2,2H3;2-3H2,1H3",2_2
"InChI=1S/C3H4O.CH3/c1-2-3-4;/h2-3H,1H2;1H3",1_2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
"InChI=1S/C3H4O.CH3/c1-2-3-4;/h2-3H,1H2;1H3",1_2,"InChI=1S/C4H7.O/c1-3-4-2;/h3-4H,1H2,2H3;",2_3
"InChI=1S/C4H6.HO2/c1-3-4-2;1-2/h3-4H,1-2H2;1H",1_2,"InChI=1S/C4H7.O2/c1-3-4-2;1-2/h3-4H,1H2,2H3;",2_3
"InChI=1S/C4H6.H2/c1-3-4-2;/h3-4H,1-2H2;1H",1_1,"InChI=1S/C4H7.H/c1-3-4-2;/h3-4H,1H2,2H3;",2_2
"InChI=1S/C4H6.C2H6/c1-3-4-2;1-2/h3-4H,1-2H2;1-2H3",1_1,"InChI=1S/C4H7.C2H5/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H2,2H3",2_2
"InChI=1S/C4H6.C2H4/c1-3-4-2;1-2/h3-4H,1-2H2;1-2H2",1_1,"InChI=1S/C4H7.C2H3/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H,2H2",2_2
"InChI=1S/C4H6.C3H6/c1-3-4-2;1-3-2/h3-4H,1-2H2;3H,1H2,2H3",1_1,"InChI=1S/C4H7.C3H5/c1-3-4-2;1-3-2/h3-4H,1H2,2H3;3H,1-2H2",2_2
"InChI=1S/C8H14/c1-5-7(3)8(4)6-2/h5-8H,1-2H2,3-4H3",1,"InChI=1S/2C4H7/c2*1-3-4-2/h2*3-4H,1H2,2H3",2_2
"InChI=1S/C8H14/c1-4-6-7-8(3)5-2/h4-6,8H,2,7H2,1,3H3",1,"InChI=1S/2C4H7/c2*1-3-4-2/h2*3-4H,1H2,2H3",2_2
"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h3-6H,7-8H2,1-2H3",1,"InChI=1S/2C4H7/c2*1-3-4-2/h2*3-4H,1H2,2H3",2_2
"InChI=1S/C8H13.H2O/c1-5-7(3)8(4)6-2;/h5-7H,1-2H2,3-4H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-5-7(3)8(4)6-2;/h5-8H,1-2H2,3-4H3;1H",1_2
"InChI=1S/C8H13.H2O/c1-4-6-7-8(3)5-2;/h4-6H,2,7H2,1,3H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O/c1-4-6-7-8(3)5-2;/h4-8H,2H2,1,3H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O/c1-4-6-7-8(3)5-2;/h4-6,8H,1-2,7H2,3H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O/c1-3-5-7-8-6-4-2;/h3-7H,8H2,1-2H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;1H",1_2
"InChI=1S/C8H13.H2O/c1-3-5-7-8-6-4-2;/h3-6H,1,7-8H2,2H3;1H2",2_1,"InChI=1S/C8H14.HO/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-5-7(3)8(4)6-2;1-2/h5-7H,1-2H2,3-4H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-5-7(3)8(4)6-2;1-2/h5-8H,1-2H2,3-4H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-4-6-7-8(3)5-2;1-2/h4-6H,2,7H2,1,3H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-4-6-7-8(3)5-2;1-2/h4-8H,2H2,1,3H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,1-2,7H2,3H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-3-5-7-8-6-4-2;1-2/h3-7H,8H2,1-2H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-3-5-7-8-6-4-2;1-2/h3-6H,7-8H2,1-2H3;1H",1_2
"InChI=1S/C8H13.H2O2/c1-3-5-7-8-6-4-2;1-2/h3-6H,1,7-8H2,2H3;1-2H",2_1,"InChI=1S/C8H14.HO2/c1-3-5-7-8-6-4-2;1-2/h3-6H,7-8H2,1-2H3;1H",1_2
"InChI=1S/C8H13.H2/c1-5-7(3)8(4)6-2;/h5-7H,1-2H2,3-4H3;1H",2_1,"InChI=1S/C8H14.H/c1-5-7(3)8(4)6-2;/h5-8H,1-2H2,3-4H3;",1_2
"InChI=1S/C8H13.H2/c1-4-6-7-8(3)5-2;/h4-6H,2,7H2,1,3H3;1H",2_1,"InChI=1S/C8H14.H/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_2
"InChI=1S/C8H13.H2/c1-4-6-7-8(3)5-2;/h4-8H,2H2,1,3H3;1H",2_1,"InChI=1S/C8H14.H/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_2
"InChI=1S/C8H13.H2/c1-4-6-7-8(3)5-2;/h4-6,8H,1-2,7H2,3H3;1H",2_1,"InChI=1S/C8H14.H/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_2
"InChI=1S/C8H13.H2/c1-3-5-7-8-6-4-2;/h3-7H,8H2,1-2H3;1H",2_1,"InChI=1S/C8H14.H/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;",1_2
"InChI=1S/C8H13.H2/c1-3-5-7-8-6-4-2;/h3-6H,1,7-8H2,2H3;1H",2_1,"InChI=1S/C8H14.H/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;",1_2
"InChI=1S/C8H13.HO/c1-5-7(3)8(4)6-2;/h5-7H,1-2H2,3-4H3;1H",2_2,"InChI=1S/C8H14.O/c1-5-7(3)8(4)6-2;/h5-8H,1-2H2,3-4H3;",1_3
"InChI=1S/C8H13.HO/c1-4-6-7-8(3)5-2;/h4-6H,2,7H2,1,3H3;1H",2_2,"InChI=1S/C8H14.O/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO/c1-4-6-7-8(3)5-2;/h4-8H,2H2,1,3H3;1H",2_2,"InChI=1S/C8H14.O/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO/c1-4-6-7-8(3)5-2;/h4-6,8H,1-2,7H2,3H3;1H",2_2,"InChI=1S/C8H14.O/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO/c1-3-5-7-8-6-4-2;/h3-7H,8H2,1-2H3;1H",2_2,"InChI=1S/C8H14.O/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;",1_3
"InChI=1S/C8H13.HO/c1-3-5-7-8-6-4-2;/h3-6H,1,7-8H2,2H3;1H",2_2,"InChI=1S/C8H14.O/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;",1_3
"InChI=1S/C8H13.CH4/c1-5-7(3)8(4)6-2;/h5-7H,1-2H2,3-4H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-5-7(3)8(4)6-2;/h5-8H,1-2H2,3-4H3;1H3",1_2
"InChI=1S/C8H13.CH4/c1-4-6-7-8(3)5-2;/h4-6H,2,7H2,1,3H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H3",1_2
"InChI=1S/C8H13.CH4/c1-4-6-7-8(3)5-2;/h4-8H,2H2,1,3H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H3",1_2
"InChI=1S/C8H13.CH4/c1-4-6-7-8(3)5-2;/h4-6,8H,1-2,7H2,3H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-4-6-7-8(3)5-2;/h4-6,8H,2,7H2,1,3H3;1H3",1_2
"InChI=1S/C8H13.CH4/c1-3-5-7-8-6-4-2;/h3-7H,8H2,1-2H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;1H3",1_2
"InChI=1S/C8H13.CH4/c1-3-5-7-8-6-4-2;/h3-6H,1,7-8H2,2H3;1H4",2_1,"InChI=1S/C8H14.CH3/c1-3-5-7-8-6-4-2;/h3-6H,7-8H2,1-2H3;1H3",1_2
"InChI=1S/C8H13.HO2/c1-5-7(3)8(4)6-2;1-2/h5-7H,1-2H2,3-4H3;1H",2_2,"InChI=1S/C8H14.O2/c1-5-7(3)8(4)6-2;1-2/h5-8H,1-2H2,3-4H3;",1_3
"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6H,2,7H2,1,3H3;1H",2_2,"InChI=1S/C8H14.O2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-8H,2H2,1,3H3;1H",2_2,"InChI=1S/C8H14.O2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,1-2,7H2,3H3;1H",2_2,"InChI=1S/C8H14.O2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,2,7H2,1,3H3;",1_3
"InChI=1S/C8H13.HO2/c1-3-5-7-8-6-4-2;1-2/h3-7H,8H2,1-2H3;1H",2_2,"InChI=1S/C8H14.O2/c1-3-5-7-8-6-4-2;1-2/h3-6H,7-8H2,1-2H3;",1_3
"InChI=1S/C8H13.HO2/c1-3-5-7-8-6-4-2;1-2/h3-6H,1,7-8H2,2H3;1H",2_2,"InChI=1S/C8H14.O2/c1-3-5-7-8-6-4-2;1-2/h3-6H,7-8H2,1-2H3;",1_3
"InChI=1S/C8H13/c1-5-7(3)8(4)6-2/h5-7H,1-2H2,3-4H3",2,"InChI=1S/C6H10.C2H3/c1-4-6(3)5-2;1-2/h4-5H,1H2,2-3H3;1H,2H2",1_2
"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-6H,2,7H2,1,3H3",2,"InChI=1S/C5H8.C3H5/c1-4-5(2)3;1-3-2/h4H,1-2H2,3H3;1,3H,2H3",1_2
"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-8H,2H2,1,3H3",2,"InChI=1S/C6H10.C2H3/c1-3-5-6-4-2;1-2/h3-6H,1-2H3;1H,2H2",1_2
"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-6,8H,1-2,7H2,3H3",2,"InChI=1S/C4H7.C4H6/c2*1-3-4-2/h3-4H,1H2,2H3;3-4H,1-2H2",2_1
"InChI=1S/C8H13/c1-3-5-7-8-6-4-2/h3-7H,8H2,1-2H3",2,"InChI=1S/C5H8.C3H5/c1-3-5-4-2;1-3-2/h3-5H,1H2,2H3;1,3H,2H3",1_2
"InChI=1S/C8H13/c1-3-5-7-8-6-4-2/h3-6H,1,7-8H2,2H3",2,"InChI=1S/C4H7.C4H6/c2*1-3-4-2/h3-4H,1H2,2H3;3-4H,1-2H2",2_1
"InChI=1S/C4H7.C2H3/c1-3-4-2;1-2/h3H,1-2H3;1H,2H2",2_2,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3",1
"InChI=1S/2C3H5/c2*1-3-2/h2*1,3H,2H3",2_2,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3",1
"InChI=1S/C8H13O.HO/c1-5-7(3)8(4,9)6-2;/h5-7H,1-2H2,3-4H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-5-7(3)8(4)6-2;1-2/h5-7H,1-2H2,3-4H3;1H",2_2
"InChI=1S/C8H13O.HO/c1-4-6-7-8(3,9)5-2;/h4-6H,2,7H2,1,3H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6H,2,7H2,1,3H3;1H",2_2
"InChI=1S/C8H13O.HO/c1-4-6-8(9)7(3)5-2;/h4-8H,2H2,1,3H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-8H,2H2,1,3H3;1H",2_2
"InChI=1S/C8H13O.HO/c1-3-8(2)6-4-5-7-9;/h3-5,8H,1,6-7H2,2H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-4-6-7-8(3)5-2;1-2/h4-6,8H,1-2,7H2,3H3;1H",2_2
"InChI=1S/C8H13O.HO/c1-3-5-7-8(9)6-4-2;/h3-6,8H,7H2,1-2H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-3-5-7-8-6-4-2;1-2/h3-7H,8H2,1-2H3;1H",2_2
"InChI=1S/C8H13O.HO/c1-2-3-4-5-6-7-8-9;/h2-3,6-7H,4-5,8H2,1H3;1H",2_2,"InChI=1S/C8H13.HO2/c1-3-5-7-8-6-4-2;1-2/h3-6H,1,7-8H2,2H3;1H",2_2
"InChI=1S/C8H13O/c1-5-7(3)8(4,9)6-2/h5-7H,1-2H2,3-4H3",2,"InChI=1S/C4H6O.C4H7/c1-3-4(2)5;1-3-4-2/h3H,1H2,2H3;3-4H,1H2,2H3",1_2
"InChI=1S/C8H13O/c1-4-6-7-8(3,9)5-2/h4-6H,2,7H2,1,3H3",2,"InChI=1S/C4H6O.C4H7/c1-3-4(2)5;1-3-4-2/h3H,1H2,2H3;3-4H,1H2,2H3",1_2
"InChI=1S/C8H13O/c1-4-6-8(9)7(3)5-2/h4-8H,2H2,1,3H3",2,"InChI=1S/C4H6O.C4H7/c1-2-3-4-5;1-3-4-2/h2-4H,1H3;3-4H,1H2,2H3",1_2
"InChI=1S/C8H13O/c1-3-8(2)6-4-5-7-9/h3-5,8H,1,6-7H2,2H3",2,"InChI=1S/C7H11.CH2O/c1-4-6-7(3)5-2;1-2/h1,4-5,7H,2,6H2,3H3;1H2",2_1
"InChI=1S/C8H13O/c1-3-5-7-8(9)6-4-2/h3-6,8H,7H2,1-2H3",2,"InChI=1S/C4H6O.C4H7/c1-2-3-4-5;1-3-4-2/h2-4H,1H3;3-4H,1H2,2H3",1_2
"InChI=1S/C8H13O/c1-2-3-4-5-6-7-8-9/h2-3,6-7H,4-5,8H2,1H3",2,"InChI=1S/C7H11.CH2O/c1-3-5-7-6-4-2;1-2/h1,3-4,6H,5,7H2,2H3;1H2",2_1
"InChI=1S/C7H11/c1-4-6-7(3)5-2/h1,4-5,7H,2,6H2,3H3",2,"InChI=1S/C5H9.C2H2/c1-4-5(2)3;1-2/h4-5H,1-2H2,3H3;1-2H",2_1
"InChI=1S/C7H11/c1-3-5-7-6-4-2/h1,3-4,6H,5,7H2,2H3",2,"InChI=1S/C5H9.C2H2/c1-3-5-4-2;1-2/h4-5H,1,3H2,2H3;1-2H",2_1
"InChI=1S/C4H6.HO2/c1-3-4-2;1-2/h3-4H,1-2H2;1H",1_2,"InChI=1S/C4H7.O2/c1-3-4-2;1-2/h3H,1-2,4H2;",2_3
"InChI=1S/C4H7O2/c1-2-3-4-6-5/h2H,1,3-4H2",2,"InChI=1S/C4H7.O2/c1-3-4-2;1-2/h3H,1-2,4H2;",2_3
"InChI=1S/C4H7O.HO/c1-2-3-4-5;/h2H,1,3-4H2;1H",2_2,"InChI=1S/C4H7.HO2/c1-3-4-2;1-2/h3H,1-2,4H2;1H",2_2
"InChI=1S/C4H7O.CH3O/c1-2-3-4-5;1-2/h2H,1,3-4H2;1H3",2_2,"InChI=1S/C4H7.CH3O2/c1-3-4-2;1-3-2/h3H,1-2,4H2;1H3",2_2
"InChI=1S/C4H8O2.H/c1-2-3-4-6-5;/h2,5H,1,3-4H2;",1_2,"InChI=1S/C4H7O2.H2/c1-2-3-4-6-5;/h2H,1,3-4H2;1H",2_1
"InChI=1S/C4H8O2.O2/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;",1_3,"InChI=1S/C4H7O2.HO2/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;1H",2_2
"InChI=1S/C4H8O2.HO2/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;1H",1_2,"InChI=1S/C4H7O2.H2O2/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;1-2H",2_1
"InChI=1S/C4H8O2.CH3/c1-2-3-4-6-5;/h2,5H,1,3-4H2;1H3",1_2,"InChI=1S/C4H7O2.CH4/c1-2-3-4-6-5;/h2H,1,3-4H2;1H4",2_1
"InChI=1S/C4H8O2.CH3O/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;2H,1H2",1_2,"InChI=1S/C4H7O2.CH4O/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;2H,1H3",2_1
"InChI=1S/C4H8O2.CHO/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;1H",1_2,"InChI=1S/C4H7O2.CH2O/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;1H2",2_1
"InChI=1S/C4H8O2.C2H5/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;1H2,2H3",1_2,"InChI=1S/C4H7O2.C2H6/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;1-2H3",2_1
"InChI=1S/C4H8O2.C2H3O/c1-2-3-4-6-5;1-2-3/h2,5H,1,3-4H2;1H3",1_2,"InChI=1S/C4H7O2.C2H4O/c1-2-3-4-6-5;1-2-3/h2H,1,3-4H2;2H,1H3",2_1
"InChI=1S/C4H8O2.C2H3/c1-2-3-4-6-5;1-2/h2,5H,1,3-4H2;1H,2H2",1_2,"InChI=1S/C4H7O2.C2H4/c1-2-3-4-6-5;1-2/h2H,1,3-4H2;1-2H2",2_1
"InChI=1S/C4H8O2.C3H5/c1-2-3-4-6-5;1-3-2/h2,5H,1,3-4H2;3H,1-2H2",1_2,"InChI=1S/C4H7O2.C3H6/c1-2-3-4-6-5;1-3-2/h2H,1,3-4H2;3H,1H2,2H3",2_1
"InChI=1S/C4H8O2.C3H5O/c1-2-3-4-6-5;1-2-3-4/h2,5H,1,3-4H2;2H2,1H3",1_2,"InChI=1S/C4H7O2.C3H6O/c1-2-3-4-6-5;1-2-3-4/h2H,1,3-4H2;3H,2H2,1H3",2_1
"InChI=1S/C4H8O2.C3H3O/c1-2-3-4-6-5;1-2-3-4/h2,5H,1,3-4H2;2H,1H2",1_2,"InChI=1S/C4H7O2.C3H4O/c1-2-3-4-6-5;1-2-3-4/h2H,1,3-4H2;2-3H,1H2",2_1
"InChI=1S/C4H8O2.C3H7/c1-2-3-4-6-5;1-3-2/h2,5H,1,3-4H2;1,3H2,2H3",1_2,"InChI=1S/C4H7O2.C3H8/c1-2-3-4-6-5;1-3-2/h2H,1,3-4H2;3H2,1-2H3",2_1
"InChI=1S/C4H8O2.C3H7/c1-2-3-4-6-5;1-3-2/h2,5H,1,3-4H2;3H,1-2H3",1_2,"InChI=1S/C4H7O2.C3H8/c1-2-3-4-6-5;1-3-2/h2H,1,3-4H2;3H2,1-2H3",2_1
"InChI=1S/C4H7O.CH3O/c1-2-3-4-5;1-2/h2H,1,3-4H2;1H3",2_2,"InChI=1S/C4H7O2.CH3/c1-2-3-4-6-5;/h2H,1,3-4H2;1H3",2_2
